Daily Crime and Fire Log 01/07/2022 UCI Campus,,,,,
Nature,Case #,Reported,Occurred,Location,Disposition
Burglary,21-1848,12/27/2021 10:14,12/17/2021  15:00 - 12/27/2021 09:30,"Cafe Espresso, 401 Physical Sciences Quad, Irvine",Inactive 12/27/2021
Rape,21-1852,12/27/2021,Unknown,"American Campus Communities, Irvine",Information Report 12/27/2021
Burglary,21-1846,12/26/2021 13:09,12/26/2021  13:04,"Vista Del Campo, 63313 Arroyo Dr, Irvine",Inactive 12/26/2021
Burglary: 1st degree Residential,21-1844,12/26/2021 00:48,"12/26/2021, Unknown Time","29221 Arroyo Dr, Irvine",Pending 12/26/2021
Vandalism: Less thn $400/Damages,21-1838,12/24/2021 01:49,12/24/2021   - 01:49,"Vista Del Campo Norte, 29017 Arroyo Dr, Irvine",Pending 12/24/2021
Burglary: 2nd degree Commercial,21-1837,12/23/2021 19:59,12/23/2021  19:33 - 19:55,"California Av/Bison Ave, Irvine",Pending 12/23/2021
Possess Narcotic Cntl Sub (M),21-1834,12/23/2021 04:29,12/23/2021  04:29,"Cornell Commons Park, 2 Harvard Avenue, Irvine",Cleared By Adult Arrest 12/23/2021
Possess Unlawful Paraphernalia,21-1834,12/23/2021 04:29,12/23/2021  04:29,"Cornell Commons Park, 2 Harvard Avenue, Irvine",Cleared By Adult Arrest 12/23/2021
Petty Theft,21-1831,12/22/2021 22:25,12/22/2021  22:10 - 22:15,"Mesa Court Housing, 4059 Mesa Rd, Irvine",Inactive 12/22/2021
Petty Theft,21-1822,12/21/2021 12:58,12/20/2021  18:00 - 23:30,"Campus Village, 1041 W Peltason Dr, Irvine",Inactive 12/21/2021
Vandalism: Less thn $400/Damages,21-1820,12/21/2021 05:40,12/20/2021  14:30 - 12/21/2021 05:35,"Student Center Parking Structure, 4000 Pereira Dr, Irvine",Inactive 12/21/2021
Petty Theft,21-1820,12/21/2021 05:40,12/20/2021  14:30 - 12/21/2021 05:35,"Student Center Parking Structure, 4000 Pereira Dr, Irvine",Inactive 12/21/2021
Vandalism: Less thn $400/Damages,21-1818,12/20/2021 11:45,12/19/2021  22:00 - 12/20/2021 00:20,"Puerta Del Sol, 10255 Adobe Circle Rd North, Irvine",Cleared By Other Means 12/20/2021
Fondling,CSA Report,12/20/2021,6/10/21 & 9/24/21,"UCI Student Housing, Irvine",Referred to OEOD 12/20/2021
Aggravated Assault,CSA Report,12/20/2021,6/10/2021 & 9/24/2021,"UCI Student Housing, Irvine",Referred to OEOD 12/20/2021
Tamper With Vehicle,21-1812,12/18/2021 06:07,12/16/2021  21:00 - 12/17/2021 13:00,"Lot AV3 - Arroyo Vista, 3 AV3 Uci Parking Lot, Irvine",Inactive 12/18/2021
Poss Controlled Substance (M),21-1810,12/17/2021 10:21,12/17/2021  10:21,"Lot 13, 13 Uci Parking Lot, Irvine",Cleared By Adult Arrest 12/17/2021
Possess Unlawful Paraphernalia,21-1810,12/17/2021 10:21,12/17/2021  10:21,"Lot 13, 13 Uci Parking Lot, Irvine",Cleared By Adult Arrest 12/17/2021
Vandalism: $400 or More/Damages,21-1805,12/16/2021 10:26,12/15/2021  02:55 - 12/16/2021 09:51,"Information And Computer Science, 302 Engineering Quad, Irvine",Pending 12/16/2021
Receive/Etc Stolen Prop ($950/less),21-1803,12/16/2021 08:33,12/16/2021  08:33,"Engineering Lecture Hall, 305 Engineering Quad, Irvine",Cleared By Adult Arrest 12/16/2021
Battery On Person,21-1799,12/15/2021 22:39,12/15/2021  22:30 - 22:35,"California Av/Arroyo Dr, Irvine",Inactive 12/15/2021
Petty Theft,21-1798,12/15/2021 15:13,12/13/2021  12:00 - 12/15/2021 14:30,"49652 Arroyo Dr, Irvine",Inactive 12/15/2021
Petty Theft,21-1797,12/15/2021 15:08,12/07/2021  13:00 - 12/15/2021 15:00,"15160 Arroyo Dr, Irvine",Pending 12/15/2021
Petty Theft,21-1795,12/15/2021 11:13,12/13/2021  21:00 - 23:00,"Reines Hall, 401 Physical Sciences Quad, Irvine",Inactive 12/15/2021
Vandalism: Less thn $400/Damages,21-1794,12/15/2021 08:59,12/14/2021  16:00 - 12/15/2021 08:45,"Rockwell Engineering Center, 311 Engineering Quad, Irvine",Inactive 12/15/2021
Daily Crime and Fire Log 01/07/2022 UCI Campus,,,,,
Nature,Case #,Reported,Occurred,Location,Disposition
Commit Mail Theft,21-1787,12/14/2021 08:25,12/12/2021  16:43 - 12/13/2021,"University Hills, 583 Coltrane Ct, Irvine",Inactive 12/14/2021
Rape,CSA Report,12/14/2021,Fall quarter 2021,"Plaze Verde Housing, Irvine",Referred to OEOD 12/14/2021
Petty Theft,21-1786,12/13/2021 18:26,12/10/2021  20:00 - 12/13/2021 17:00,"East Campus Parking Structure, 670 California Av, Irvine",Inactive 12/13/2021
Trespass:Occ Prop w/o Consent,21-1784,12/13/2021 15:23,12/12/2021  17:40 - 12/13/2021 03:00,"Cal Institute Telecomm & Info Tech, 325 Engineering Quad, Irvine",Information Only 12/13/2021
CA REGS:VIOLATE CURFEW,21-1784,12/13/2021 15:23,12/12/2021  17:40 - 12/13/2021 03:00,"Cal Institute Telecomm & Info Tech, 325 Engineering Quad, Irvine",Information Only 12/13/2021
Grand Theft:Money/Prop/Etc $950+,21-1783,12/13/2021 14:11,12/13/2021  11:00 - 14:00,"Interdisciplinary Science & Engineering, 419 Physical Sciences Quad, Irvine",Inactive 12/13/2021
Trespass:Occ Prop w/o Consent,21-1782,12/13/2021 12:12,11/10/2021  12:00 - 12/13/2021 09:00,"Social Science Lab, 202 Social Sciences Quad, Irvine",Inactive 12/13/2021
Vandalism: Less thn $400/Damages,21-1782,12/13/2021 12:12,11/10/2021  12:00 - 12/13/2021 09:00,"Social Science Lab, 202 Social Sciences Quad, Irvine",Inactive 12/13/2021
Commit Mail Theft,21-1781,12/13/2021 07:28,12/11/2021  18:00 - 12/13/2021 07:00,"14 Mistral Ln, Irvine",Inactive 12/13/2021
Burglary,21-1778,12/12/2021 14:31,12/10/2021  12:00 - 12/12/2021 14:15,"Information And Computer Science, 302 Engineering Quad, Irvine",Pending 12/14/2021
Vandalism: Less thn $400/Damages,21-1778,12/12/2021 14:31,12/10/2021  12:00 - 12/12/2021 14:15,"Information And Computer Science, 302 Engineering Quad, Irvine",Pending 12/14/2021
Hit & Run Prop Damage:Notify/Etc,21-1775,12/11/2021 13:06,12/09/2021  18:00 - 12/10/2021 14:30,"Lot AV2 - Arroyo Vista, 2 AV2 Uci Parking Lot, Irvine",Inactive 12/11/2021
DUI Alcohol,21-1773,12/11/2021 04:41,12/11/2021  04:30,"California Av/Campus Dr, Irvine",Pending 12/11/2021
