Daily Crime and Fire Log 01/07/2022 UCI Campus,,,,,
Nature,Case #,Reported,Occurred,Location,Disposition
Vandalism: $400 or More/Damages,21-1581,11/11/2021 15:49,11/07/2021  14:00 - 11/11/2021 14:00,"11 Puerta Del Sol, 11000 Adobe Circle Rd North, Irvine",Inactive 11/11/2021
Off-Campus Suspicious Activity,21-1576,11/10/2021 15:49,"11/05/2021, Unknown Time","Student Health Center, 501 E Peltason Dr, Irvine",Information Only 11/10/2021
Batt: Spouse/Ex/Cohab/Date/Etc,21-1573,11/10/2021 03:58,11/10/2021  01:00 - 03:58,"Camino Del Sol, Irvine",Cleared By Adult Arrest 11/10/2021
Disciplinary Referral: Drug Law,CSA Report,11/10/2021,8/22/2021,"Vista del Campo Norte, Irvine",Referred to Vista del Campo Student Housing 11/10/2021
Disciplinary Referral: Liquor Law,CSA Report,11/10/2021,9/19/2021,"Vista del Campo Norte, Irvine",Referred to Vista del Campo Student Housing 11/10/2021
Disciplinary Referral: Liquor Law,CSA Report,11/10/2021,9/20/2021,"Vista del Campo Norte, Irvine",Referred to Vista del Campo Student Housing 11/10/2021
Disciplinary Referral: Liquor Law,CSA Report,11/10/2021,10/16/2021,"Camino del Sol, Irvine",Referred to Camino del Sol Student Housing 11/10/2021
Disciplinary Referral: Liquor Law,CSA Report,11/10/2021,10/22/2021,"Vista del Campo Norte, Irvine",Referred to Vista del Campo Student Housing 11/10/2021
Disciplinary Referral:Liquor Law,CSA Report,11/10/2021,10/23/2021,"Vista del Campo Norte, Irvine",Referred to Vista del Campo Student Housing 11/10/2021
Disciplinary Referral: Liquor Law,CSA Report,11/10/2021,10/30/2021,"Vista del Campo Norte, Irvine",Referred to Vista del Campo Student Housing 11/10/2021
Daily Crime and Fire Log 01/07/2022 UCI Campus,,,,,
Nature,Case #,Reported,Occurred,Location,Disposition
Disciplinary Referral: Liquor Law,CSA Report,11/10/2021,10/31/2021,"Plaza Verde, Irvine",Referred to Plaza Verde Housing 11/10/2021
Vandalism: $400 or More/Damages,21-1571,11/09/2021 19:37,11/09/2021  19:37,"Anteater Learning Pavilion, 605 Humanities Quad, Irvine",Cleared By Adult Arrest 11/09/2021
Petty Theft,21-1561,11/08/2021 20:56,11/08/2021  18:00 - 19:00,"Vista Del Campo Norte Clubhouse, 28700 Arroyo Dr, Irvine",Inactive 11/08/2021
Vandalism: Less thn $400/Damages,21-1561,11/08/2021 20:56,11/08/2021  18:00 - 19:00,"Vista Del Campo Norte Clubhouse, 28700 Arroyo Dr, Irvine",Inactive 11/08/2021
Petty Theft,21-1564,11/08/2021 13:19,11/02/2021  18:00 - 22:00,"Student Center, 113 Gateway Quad, Irvine",Inactive 11/09/2021
Burglary,21-1559,11/08/2021 11:59,11/07/2021  08:00 - 11:00,"Hathaway Construction, California Av/Bison Ave, Irvine",Pending 11/09/2021
Vandalism: Less thn $400/Damages,21-1553,11/07/2021 14:54,11/06/2021  21:00 - 11/07/2021 12:00,"Vista Del Campo Norte, 29219 Arroyo Dr, Irvine",Inactive 11/07/2021
Petty Theft,21-1552,11/07/2021 14:37,11/03/2021  08:30 - 11/07/2021 12:00,"Av Theme House, 1012 Arroyo Dr, Irvine",Inactive 11/07/2021
Threaten Crime: Intent Terrorize,21-1548,11/07/2021 04:17,11/07/2021  04:17,"Vista Del Campo Norte, 29732 Arroyo Dr, Irvine",Cleared By Adult Arrest 11/07/2021
Battery On Person,21-1548,11/07/2021 04:17,11/07/2021  04:17,"Vista Del Campo Norte, 29732 Arroyo Dr, Irvine",Cleared By Adult Arrest 11/07/2021
Batt: Spouse/Ex/Cohab/Date/Etc,21-1548,11/07/2021 04:17,11/07/2021  04:17,"Vista Del Campo Norte, 29732 Arroyo Dr, Irvine",Cleared By Adult Arrest 11/07/2021
Petty Theft,21-1545,11/06/2021 15:26,11/05/2021  22:00 - 11/06/2021 15:00,"Caballo, 4001 Mesa Rd, Irvine",Pending 11/06/2021
"Fire Report, Non-Arson: electrical malfunction in lab",21-1542,11/06/2021 01:47,11/06/2021  01:47,"Interdisciplinary Science & Engineering, 419 Physical Sciences Quad, Irvine",Information Only 11/06/2021
